name,price,brend,url,article,author,genre,language,year,cover
"Машинное обучение. Основы, алгоритмы и практика применения",1554,БХВ-Петербург,https://www.wildberries.ru/catalog/204446645/detail.aspx,204446645,Дж. Уатт,"Учебно-методическое пособие, Учебная",русский,2022,Мягкая обложка
Python и машинное обучение,2499,Диалектика (Вильямс),https://www.wildberries.ru/catalog/203681007/detail.aspx,203681007,Рашка Себастьян,Интернет и технологии,русский,2020,Твердая обложка
Машинное обучение. Новый искусственный интеллект,320,Издательская группа Точка,https://www.wildberries.ru/catalog/223468978/detail.aspx,223468978,Этем Алпайдин,Научно-популярная литература,русский,2017,твердая
Машинное обучение. Новый искусственный интеллект,346,Издательская группа Точка,https://www.wildberries.ru/catalog/212417156/detail.aspx,212417156,Этем Алпайдин,"Научно-популярная литература, Научно-методические исследования",русский,2017,Твердая обложка
Укрощение больших данных. Как извлекать знания из,820,"Манн, Иванов и Фербер",https://www.wildberries.ru/catalog/190461912/detail.aspx,190461912,Билл Фрэнкс,"Информационные технологии / Машинное обучение. Анализ данных, Менеджмент. Управление предприятием",русский,2014,"твердая, Ляссе"
Укрощение больших данных. Как извлекать знания из массивов,820,"Манн, Иванов и Фербер",https://www.wildberries.ru/catalog/197981362/detail.aspx,197981362,Фрэнкс Билл,"Информационные технологии, Машинное обучение. Анализ данных, Менеджмент. Управление предприятием",русский,2014,твердая
Интернет вещей. Новая технологическая революция,931,Бомбора,https://www.wildberries.ru/catalog/190104001/detail.aspx,190104001,Мачей Кранц,"Бизнес. Экономика / Ведение бизнеса, Машинное обучение. Анализ данных",русский,2018,"твердая, Тиснение серебром, Частичная лакировка, Ляссе"
Нейронные сети и глубокое обучение: Учебный курс,3103,Диалектика,https://www.wildberries.ru/catalog/219616862/detail.aspx,219616862,Аггарвал Ч.,Интернет и технологии,русский,2020,Твердая
Основы статистического обучения,3782,Диалектика,https://www.wildberries.ru/catalog/215688845/detail.aspx,215688845,"Тревор Хасти, Роберт Тибришани, Джером Фридман","Научно-популярная литература, Научно-методические исследования",русский,2020,Твердая обложка
Нейронные сети и глубокое обучение: Учебный курс,3103,Диалектика,https://www.wildberries.ru/catalog/219616861/detail.aspx,219616861,Аггарвал Ч.,Интернет и технологии,русский,2020,Твердая
Психология машинного зрения,486,МИР,https://www.wildberries.ru/catalog/197035480/detail.aspx,197035480,"Хорн Б., Мински Марвин, Сираи Й.","учебно-методическое пособие, учебная",русский,1978,Твердая обложка
Распознавание образов. Введение в методы,549,Издательство Едиториал УРСС,https://www.wildberries.ru/catalog/192028641/detail.aspx,192028641,Мерков Александр Борисович,"Интернет и технологии, Научно-популярная литература, Учебная и методическая литература",,2011,твердая
